name	description	season	episode	source
Canción triste para un asteriode	Spike Spiegel y Jet Black, tripulantes del Bebop van a la caza de un traficante de drogas por el que pagan una recompensa de 2,5 millones de urones (la moneda única internacional). Este traficante es Asimov, quien se ha robado todo el Bloody Eye de la banda a la cual pertenecía y por la cual lo persiguen, con el objeto de venderla e irse a vivir en Marte con su novia Katarina. 	1	1	https://www.blogger.com/video.g?token=AD6v5dw9nPEW5h_VwwD9IF-601-DbZV8DiXAkrOTdyzR400VB2ujkBr6sS5y9qqhT_QBbsk1TxysIJPRq3aIfwBPrba7yYFXISbcYquGM79prPNCz4dEe1M2pBJOlSAPzyQdA3Xnb0OF
Strut, perro callejero	Abdul Hakim, un hombre con una recompensa de 8 millones de urones, roba una maleta de un centro de investigaciones con un contenido que le hará rico. Cuando saben de su recompensa, Spike y Jet van tras su pista. Pero no son los únicos. El equipo del centro de investigaciones hará lo mismo para apoderarse del contenido de dicha maleta, que acabará siendo parte de la tripulación del Bebop. 	1	2	https://www.blogger.com/video.g?token=AD6v5dxLG4jh4OZ1NJGEcf93_Y45QqX8ftQJ_DH9pU4BsmbORexr4v1tEl2yNl6LtfU-c-9b_oOYuYGSMBMObEgGSyGvQmeA-Q66Jyg9J4wqJUAIp9jql62eeZyQr8Zz1uk-x0D2_e4
La jugadora	Aparece Faye Valentine, jugadora y cazarrecompensas que aprovecha cualquier ocasión para ganar dinero, aunque también está en busca y captura por sus grandes deudas de juego. Su destino se cruza con el de los tripulantes del Bebop, debido a que roba una ficha de casino con una clave de cifrado muy extraña y codiciada en el mercado negro. 	1	3	https://www.blogger.com/video.g?token=AD6v5dzr9ph4OhRisi6LBD7luKuUyulWBgxK7Hr85kZogb9hlwFrKESb8vXD066B7kRbgvE6SloXjlhvRBAtcCAoOY56tj7pwQKUs14dxmJNVRZB4381cIrQs0hSwBaL5f36_YS8Rnxj
Puerta de escape	Seguimos con Faye Valentine, quien se ha quedado atrapada en el espacio sin combustible. Por desgracia, los primeros que la encuentran son los del Bebop, quienes han perdido su recompensa por la intromisión de una banda terrorista ecologista: los Guerreros del Espacio, fanáticos protectores del ratón marino de Ganímedes y poseedores de un arma secreta. 	1	4	https://www.blogger.com/video.g?token=AD6v5dwM-t6zZWobxp1UQOJCjgI92wf2Y_7t5gyVmF5iHJxE5LoZn0C3n-Y2msA--kadZo4kDocYZtqeAiKtyEWNsCFNYcTVQEX2T8dEO8RUPt2abLmNJ7wAvWSTBxwZ9rKxWabAdNW_
La balada de los ángeles caídos	Primer episodio donde se conoce algo del pasado de Spike. Uno de los líderes de la organización Dragón Rojo ha sido asesinado. Vicius, antiguo miembro de la misma organización, es el causante. Nada más ver las noticias, Spike se va de la nave de Jet a arreglar sus asuntos sin decirle lo que ocurre. Faye por su parte, que ya forma parte de la tripulación del Bebop, decide investigar por su cuenta y riesgo. ¿Quién es el misterioso Vicius y qué vínculo tiene con Spike? 	1	5	https://www.blogger.com/video.g?token=AD6v5dwf1ss6cWZlg_1VV7OnOrpc9KzZLeNEf2B0u6pX9Usvrh-7XoM6qmMKkPC0tREZ0g0258wLqhGI2R_UFOwVTEKUAe2noHOApacH_-UaSQxVFmcLfq0_9NNzhptcb3BYnQcIbPV2
Simpatía por el Diablo	Siguiendo una presa en un pub de jazz, Spike se encuentra con una extraña historia. Un viejo inválido en silla de ruedas, un niño prodigioso tocando la armónica y la presa, Giraffe, le da un extraño anillo antes de morir. ¿Qué significa esto? ¿Y por qué la conversación que Spike escucha entre ellos no parece tener que ver con la realidad? 	1	6	https://www.blogger.com/video.g?token=AD6v5dxuJD3crb6_-N4o9Cl-m4Txi2Y24xY3OE0e3L9911lN9oda69jyfIQ7I4nUgj1BB6AQKdcAutRyv97KRFAs7I83yOA3rAtoPaeRZYGJuBr-VJnd8zz4Wj5M8leY_L4E1btiOcg
La reina del Heavy Metal	Siempre siguiendo una pista, los tripulantes de la Bebop buscan una presa, pero esta vez solo saben que tiene el tatuaje de un dragón. Sus pesquisas les llevan a conocer a V. T., una «camionera» espacial apodada la Reina del Heavy Metal. 	1	7	https://www.blogger.com/video.g?token=AD6v5dx5l7hrYL6wBCFEmIEv9VmxcAb2VFsC-_whbZ0Ekgn4uMpkjBT5kNUvSJz8IiYx695gkYTkYGBn6DapDMatecJF5q-JT_-kT7IrFM0P1MfJvy4gp3u7ATtLW2-uzpJ-w-2z-3w
El vals de Venus	Spike y Faye evitan un secuestro dentro de un avión para cobrar la recompensa por los secuestradores. Pero después de ver en acción a Spike, un niño llamado Rocko, portador de una extraña planta, decide tenerlo como maestro y quiere que le enseñe artes marciales. 	1	8	https://www.blogger.com/video.g?token=AD6v5dxoTB4ul2_e0avLrD5wONvSw3R07OyHCT2GTLWWardc7K_E7MZ0Mir39GaGHBHTvE_ulR6LKGxapdRUUBUBtWFzTMZJ8YCgqR4nAzheKD1sML7v9VOHnI2hvTMd5ZG8e-c6R_M
Interferencias de Edo	Aparece Ed. Una serie de extraños dibujos sobre la superficie de la Tierra, que son idénticas a las Líneas de Nazca, hacen que el gobierno ponga una recompensa por quien los haya hecho y sospechan de un famoso hacker que vive en ese planeta: Ed. Por supuesto los tripulantes del Bebop van tras su pista. 	1	9	https://www.blogger.com/video.g?token=AD6v5dxP5cqZ7dNh1mCQlz-DAKBuz2ViH1VhmxAO2eI6hyHnIUMmy3PQnWSmAD8LONmwMDUQs4NXyYvWOsnRLWwCJtoIU-OijoIAo2NW-xBjwU-03IjU7qVwBathXsaDbLE-boCNJi4
Elegía de Ganímedes	Esta vez son los recuerdos de Jet los que salen a flote. Su antiguo trabajo en el ISSP y el nombre de la mujer con la que trabajaba: Alisa. A la que va a visitar a Ganímedes. Todo mezclado con una persecución y la nueva vida de esta mujer. 	1	10	https://www.blogger.com/video.g?token=AD6v5dwgep7GH4R6dLsQA992GOnJNu_MeassU0msqlF5Z5fieZSCP13GNjPi05zoS63hE_hfnHcQMMNcTYYibdI4ZqCSSATtikYV9-XsvgrJ7yjpJZYTHqFX7f5_juAZoapkRvjb2EgY
Los juguetes del desván	Este capítulo transcurre por entero dentro de la nave Bebop. Algo está enfermando a sus ocupantes y les deja unas extrañas marcas. Spike es el único que no está infectado y decide eliminar a lo que esté atacando a sus compañeros. 	1	11	https://www.blogger.com/video.g?token=AD6v5dz0mvyvABNozfR8K4yOnaU6GPgxKBx-uuuL13c1Dx7dDXBvn-ohjbwZucxes018c0TSvdun2-NO8cTlETys8Z9e4SXCiNAWTQNA0IDS0uF6RtrhknQpDum457-_aYNxuGMzYR3I
Jupiter Jazz (1)	Aparece de nuevo Vicius, al que sus jefes de la Orden del Dragón Rojo, mandan al planeta Calisto junto con Lin, antiguo discípulo de Spike. Por otra parte, Ed busca información y encuentra en Calisto a alguien llamada Julia, ante lo cual Spike también viaja rumbo al planeta. Faye, por su parte, ya está allí y ha conocido a alguien especial. 	1	12	https://www.blogger.com/video.g?token=AD6v5dx2UUmS35TG87ynLcOsskyi0buisita3RgqxZ7_e_zhPwrCKpcw3X3AVy80qiUnOpIJd_XaomyO2dIcXW8ZUmFOs1QJ_8rjPuwBC9GRIc9QZ7SUt3rCwa_qwawIzn1QpUuZ8Yo
Jupiter Jazz (2)	Es el segundo enfrentamiento de Spike con Vicius, pero esta vez Lin está por medio. Mientras, Glen, el hombre con el apodo de Julia, cuenta a Faye que sirvió con Vicius en un planeta llamado Titán y ahora es su contacto. Se conocen recuerdos de Spike una vez más, relacionados con Vicious y Julia. Spike tratará de impedir que Vicous huya de nuevo. 	1	13	https://www.blogger.com/video.g?token=AD6v5dxvY4e3xPSyJNrMVKiuJpur02fqjjQjDWFVlMpUx3x7Ox5DKsmdKNHTchXIwe2vh-OJsNGuLSxC6KomGYr7oHDsKV0C6xCa8qaR9w3NPHxi020OGfqxpqKaZL6khaBLFYMPkZ0
