name	description	season	episode	source
Raro 	A la gente le está llegando mensajes por e-mail de una chica que se suicidó la semana anterior (Chisa Yomoda), quien proclama que sólo dejó su cuerpo, pero que aún reside en la Red, y que Dios también está allí. Después de recibir alguno de esos mensajes, la introvertida Lain se interesa por los ordenadores y le pide a su padre uno de mayor potencia.	1	1	https://www.blogger.com/video.g?token=AD6v5dwLwHv2E_JFNH6Bis8MAzNA5eDdLHKTnJY-KEqK0UWiNOPLDj2wAxODXbRAGsZpide_4rENGk4y65DAQL2jjIWQ1YngOkq3LiGfQMvNo3OBBdaD76FgeXrleUTRZkVwR87MSfM
Chicas 	Arisu, Juri, y Reika llaman a Lain debido a que vieron a su "doble", Lain decide unirse a Arisu y sus amigas quienes irán de nuevo a Cyberia para asegurarse de que no es la misma Lain. No obstante, Lain se ve involucrada con un tiroteo en el club debido a un hombre que estaba bajo la influencia de una droga-dispositivo nanotecnológica Accela. Lain recibe su nuevo ordenador. 	1	2	https://www.blogger.com/video.g?token=AD6v5dzxFdUJEhoDDv0w9mcjqq8ag5NqnN1AA9SZ3FrZlms15Y4VY1G4X3TB_k7vGPlcupWEBw9gOcA-SAHILSdhYIdCGXmGK2qNS1TEdisH7UcfAJxJ7-SBNw5p85V7iT-nAxfNDHQ
Psique 	Lain se entera que está siendo espiada por unos agentes desde un coche cerca de su casa. En el colegio, Lain recibe de manera anónima un misterioso chip psique, acerca del cual pregunta inicialmente a su padre, y luego a Taro en el club Cyberia. Taro luego le dice que la ha visto en la red pero que su personalidad es completamente opuesta a la de la realidad. Finalmente Taro le explica cómo instalar el dispositivo en su ordenador.	1	3	https://www.blogger.com/video.g?token=AD6v5dyZ8mZCTjDAEEmJmT2Zkt0V-uueC3H9tYG-UcC26yr3u58aGwiCZJKv0hFIj6IpdujQc9zlbc9tVzsdy9FfqJWjTuPikXMvyvv1zpftaO8ZO0USLelWizgL3MMWxApaZshsrZQm
Religión 	Varios rumores son difundidos sobre Lain en el colegio y en la red con relación a los numerosos jóvenes estudiantes de varios colegios que se han suicidado, debido a la adicción al juego en línea PHANTOMa. Lain se dedica a investigar solamente las muertes causadas por un grupo élite secreto de hackers conocido como Los Knights.	1	4	https://www.blogger.com/video.g?token=AD6v5dy2sAKm4mM9acEkluM9vmSx52sFkxYG9qXyjpot6BXLbYKRN-9NaQPyjj8gt0VwDenAj-PBU2boEFAI_Iu-kh0In9sLkkfNOCvY95JQGWkS6B1s9nSe2Jm-qXfUHu6Zoncju3o
Distorsión 	Entre los eventos alrededor de Tokio el sistema de información de tráfico es saboteado a causa de accidentes deliberados, Lain experimenta una serie de alucinaciones que le muestran (por medio de objetos inanimados, y revelaciones de sus padres) la naturaleza de la Red, y el supuesto Dios en ella. Mientras tanto, la hermana de Lain, Mika, es llevada al punto de la insania debido a que Los Knights repetidamente le dan el mensaje de que ella cumplirá la profecía. 	1	5	https://www.blogger.com/video.g?token=AD6v5dxI8Br86iGkZik4Rz6nWKg3EA8yBELjdExtynhfk6dPXjfTvnbpu_lHxxxJqUftvunHfju3HiJnY7-KWSsweo-z1g_ayizq3fHgl26ogBQxagdW9eSIo9BZAYEDhOSiphgorba3
Niños 	Una imagen de Lain aparece en el firmamento y los niños levantan sus manos hacia ella. Lain busca la razón detrás del extraño suceso y encuentra al Profesor Hodgeson creador de KIDS. KIDS fue un experimento que integró varios niños con poderes Psi para utilizar su potencial y conocer su origen. El resultado del proyectó acabó con los niños. Ahora el ve que Los Knights han retomado la idea del proyecto. 	1	6	https://www.blogger.com/video.g?token=AD6v5dzjCiLqLL4WCWVyaO-CeCYspgNUWlxtLvnybdA80_pHudifxNn8PZic_TB48Yn7NZUcRFbc1elpKGM6PHR4wYVJxT_FgFypaNkA7ejJ2Jh_bDN59zZovwGbIvoLkBO_zErbc3g
Sociedad 	La actividad de Los Knights comienza con la mejora de lo que ellos habían iniciado. Lain se ve cada vez más comprometida con la Red y se conecta hasta en las clases a través de su navegador manual. Comienza a preocuparse por su verdadero ser. Los Hombres de Negro finalmente llevan a Lain a la Oficina Tachibana y la interrogan sobre sus orígenes y sus padres. 	1	7	https://www.blogger.com/video.g?token=AD6v5dyDVUc5JVJWBn1coxGWBmb9H5NiGTvO7NvglTdAq4pJ2OLYKnMAr07daPpLgP_WSbXuq28ECAVNabVFs-Unw3Nk_lzeNp1E_d_owtE9VIhg2uRsPqAdn6W5aIn-pNovsRVUvA5K
Rumores 	Lain está investigando la Red. Un rumor es difundido sobre las fantasías sexuales que tiene Arisu con un profesor, y en algún momento se dice que Lain fue quien lo difundió. 	1	8	https://www.blogger.com/video.g?token=AD6v5dwU-L9_QE9mI9Jtstn674-SzvCVlZUjKb2HU0s0Ak8p1ncUzUsziDM-axc_PhFdfhRVflmqq0bccZHGh3qb86eeNYO6k4a-mZXtmIxu71lqWSTDNhcdDR64tfOjMpFnKkWSmIaM
Protocolo 	Durante el episodio, muestran información de fondo sobre "archivos" acerca del Caso Roswell, Majestic 12, Vannevar Bush, Ted Nelson, John C. Lilly, la Resonancia Schumann, Douglas Rushkoff y Eiri Masami, quien agregó una función para usar el séptimo protocolo IP. Durante ese tiempo, Lain obtiene un microchip de JJ, El DJ del club nocturno Cyberia. Ella luego pregunta a Taro sobre su uso, pero dice no saberlo. Después, sintiéndose intimidado por la muerte, él admite que es un código diseñado por los Knights para disolver la memoria humana. Él los defiende pero admite no conocer mucho sobre ellos.  	1	9	https://www.blogger.com/video.g?token=AD6v5dyAejJ11UFqRPRhtYyrbqYMgj2mwAmV8G7By03HnwHG3448dHYoZ1AW_cMDlQbAIVHKOtcT_4V6b1kfJWAapqzSqRSzb5Y67QCwMW7P8ycnshRCZnofEC0V1hcUFzSHSUNJQXY
Amor 	Eiri Masami se presenta a sí mismo como Dios, explica que lo es por causa de sus diseñadores, Los Knights, quienes crearon el "grupo de la inconsciencia" en la red. Lain ve la lista de los integrantes y hace un trato con ellos. 	1	10	https://www.blogger.com/video.g?token=AD6v5dwSIA5GQRDogdTACETO03wguqcWuQUmB23NzP1inZp7kjP8IzkBy4xOO-KUcmR9X0kbLyN1h4n3or4aGSr3sCiXLKVZuXZwKAKap6pPzgghXdXUFy3bW6qyl_IfHqJQBmm7mmrM
Infornografía 	Lain aparece tendida y exhausta en su alcoba, cubierta por cables eléctricos.En complejos flashbacks, Eiri aparece para felicitarla por haber hecho la transferencia del ordenador al cerebro y le advierte que es un software pero el cerebro tiene buena capacidad de hardware. Lain se lo presenta a Arisu, y comenta la posibilidad de borrar sus fantasías sexuales con el profesor de la red, ya que los otros no usaban dispositivo alguno; y que restablecerá su buena reputación en la red. Al día siguiente ninguno recuerda los rumores ni el incidente, y Lain sonríe en complicidad con Arisu.  	1	11	https://www.blogger.com/video.g?token=AD6v5dyZyAkJ-5lAcSM9ZPJc9RgJnf5QipAgR3Xw8g5WYxUWcnWj_KLwM-puIUfBkApxtc01URnXCIulV9Xbnm_oXYle6s4JcB5d6jR_5ncGw2vXyjhQfQqTkCIoDc4Po8CwIBKYmGQ
